district,traffic,weather,intervention,density,stress,roi
Cheras,6026.52464238365,0,2,9500,54.1,0.018
Bangsar,5493.220418254003,2,2,6500,57.5,0.092
Bangsar,6053.306453851131,1,3,6500,39.3,0.0
Bukit Bintang,8785.227954125083,2,2,11000,73.9,0.156
Cheras,6329.821234396072,2,3,9500,61.6,0.0
Bangsar,4378.052266131391,0,2,6500,45.9,0.012
Bukit Bintang,7769.6949733176425,0,1,11000,41.8,0.083
Bukit Bintang,9087.97405324841,1,2,11000,54.4,0.156
Bukit Bintang,8571.112059812409,2,0,11000,72.9,0.0
Bukit Bintang,8791.973144788377,1,1,11000,47.0,0.083
Bangsar,4947.8844960780025,0,1,6500,27.7,0.049
Bangsar,4373.885077923007,0,0,6500,30.9,0.0
Bukit Bintang,8420.966304966041,2,3,11000,72.1,0.0
Bangsar,4969.356505498356,0,0,6500,33.8,0.0
Bukit Bintang,7839.516349746242,1,0,11000,48.2,0.0
Cheras,6297.504020820654,2,3,9500,61.5,0.0
Bukit Bintang,6885.840704046195,1,2,11000,43.4,0.156
Bangsar,5207.275076985476,2,0,6500,56.0,0.0
Cheras,6829.880174104396,2,0,9500,64.1,0.0
Bangsar,5510.054430957381,2,1,6500,51.6,0.049
Bukit Bintang,8541.697262469794,2,2,11000,72.7,0.156
Cheras,6642.842395239284,2,3,9500,63.2,0.0
Bangsar,5519.592294286926,2,0,6500,57.6,0.0
Bangsar,4560.623611179066,2,3,6500,52.8,0.0
Bukit Bintang,8354.751175276913,1,2,11000,50.8,0.156
Bangsar,6305.521147232326,1,3,6500,40.5,0.0
Cheras,6877.837211250706,2,3,9500,64.4,0.0
Cheras,7033.647065945987,1,1,9500,38.2,0.072
Cheras,6322.078310937366,1,0,9500,40.6,0.0
Bukit Bintang,8920.358528981997,1,2,11000,53.6,0.156
Bukit Bintang,8376.981467645224,2,1,11000,65.9,0.083
Cheras,6142.407994041696,2,1,9500,54.7,0.072
Bangsar,5585.284433559298,1,3,6500,36.9,0.0
Cheras,6363.985471165239,1,2,9500,40.8,0.135
Bangsar,5914.469666457016,1,3,6500,38.6,0.0
Bangsar,6084.774600917896,1,3,6500,39.4,0.0
Bangsar,4945.105329083357,2,0,6500,54.7,0.0
Cheras,8084.846478681231,2,2,9500,70.4,0.135
Bangsar,5335.774705102155,1,0,6500,35.7,0.0
Bangsar,5024.934182715838,1,1,6500,28.1,0.049
Bangsar,4841.021005003619,2,0,6500,54.2,0.0
Cheras,6626.6953631549995,0,0,9500,42.1,0.0
Bangsar,5624.224872982701,2,2,6500,58.1,0.092
Bukit Bintang,7699.359048210528,1,1,11000,41.5,0.083
Bukit Bintang,8387.303145764115,1,2,11000,50.9,0.156
Cheras,6260.088210784627,2,2,9500,61.3,0.135
Bangsar,5323.577191356271,2,2,6500,56.6,0.092
Cheras,7151.404444393018,1,1,9500,38.8,0.072
Cheras,7877.059005761336,1,3,9500,48.4,0.0
Cheras,7232.321699141653,2,0,9500,66.2,0.0
Bangsar,5256.097683369854,2,1,6500,50.3,0.049
Bukit Bintang,8328.118417263915,2,3,11000,71.6,0.0
Bukit Bintang,7221.772982793468,0,2,11000,60.1,0.021
Bangsar,5654.7406505709005,2,2,6500,58.3,0.092
Cheras,6425.1745092083265,0,3,9500,41.1,0.0
Cheras,5505.17432105208,0,0,9500,36.5,0.0
Bangsar,5229.340411869325,1,1,6500,29.1,0.049
Bukit Bintang,8049.022446136105,1,3,11000,49.2,0.0
Cheras,7739.780437647178,2,2,9500,68.7,0.135
Bukit Bintang,9130.564359325392,2,1,11000,69.7,0.083
Bangsar,6638.152053251446,2,1,6500,57.2,0.049
Bangsar,4736.767935309134,2,0,6500,53.7,0.0
Cheras,7876.30866993315,1,0,9500,48.4,0.0
Bangsar,5185.540105468393,1,2,6500,34.9,0.092
Bangsar,5360.243131842213,2,3,6500,56.8,0.0
Cheras,6805.105819598849,2,1,9500,58.0,0.072
Bukit Bintang,7907.802132472022,0,0,11000,48.5,0.0
Bangsar,4953.171988422265,2,3,6500,54.8,0.0
Cheras,5776.758502894728,0,3,9500,37.9,0.0
Cheras,7440.161324930989,1,0,9500,46.2,0.0
Bangsar,4752.632545782818,0,1,6500,26.8,0.049
Cheras,7436.831162145997,2,1,9500,61.2,0.072
Bangsar,4729.1566104676895,0,3,6500,32.6,0.0
Bukit Bintang,6760.6728792897475,0,3,11000,42.8,0.0
Cheras,5489.072368297176,0,1,9500,30.4,0.072
Bangsar,4746.271521994873,0,0,6500,32.7,0.0
Bukit Bintang,8430.843739632237,1,3,11000,51.2,0.0
Bukit Bintang,8217.783502735043,1,2,11000,50.1,0.156
Bukit Bintang,8491.194101410212,1,1,11000,45.5,0.083
Bukit Bintang,8920.399114315656,2,2,11000,74.6,0.156
Cheras,7246.703129842298,2,2,9500,66.2,0.135
Bangsar,6651.988896021634,2,2,6500,63.3,0.092
Bangsar,5331.563771265409,2,2,6500,56.7,0.092
Cheras,7019.8399651055815,2,3,9500,65.1,0.0
Bukit Bintang,8400.391551747793,1,3,11000,51.0,0.0
Cheras,7754.9073334908335,2,1,9500,62.8,0.072
Bukit Bintang,7295.348517576869,0,1,11000,39.5,0.083
Bukit Bintang,6734.3109410858,0,0,11000,42.7,0.0
Cheras,6568.657455464864,0,0,9500,41.8,0.0
Cheras,7196.035203338289,1,3,9500,45.0,0.0
Bukit Bintang,8326.828560092403,2,3,11000,71.6,0.0
Bangsar,5040.9872960504,1,2,6500,34.2,0.092
Bukit Bintang,7750.49282441512,2,1,11000,62.8,0.083
Cheras,6018.519662489609,0,0,9500,39.1,0.0
Bangsar,5542.453356805823,2,3,6500,57.7,0.0
Bangsar,4899.965659947224,0,2,6500,48.5,0.012
Cheras,7024.8492508248955,2,2,9500,65.1,0.135
Bangsar,5447.215017735626,2,2,6500,57.2,0.092
Bangsar,4862.956341281581,2,0,6500,54.3,0.0
Bukit Bintang,9191.658925136715,2,1,11000,70.0,0.083
Cheras,6767.2086788468905,2,0,9500,63.8,0.0
Cheras,7508.388294440804,2,1,9500,61.5,0.072
Cheras,6516.563745471046,0,3,9500,41.6,0.0
Bukit Bintang,9463.670123039012,1,3,11000,56.3,0.0
Cheras,7879.2238002520835,1,0,9500,48.4,0.0
Bangsar,4434.98503987099,2,0,6500,52.2,0.0
Cheras,7234.599187488999,2,1,9500,60.2,0.072
Cheras,5878.250985684787,0,2,9500,53.4,0.018
Bangsar,5655.555841013658,1,1,6500,31.3,0.049
Bangsar,6204.186838045908,1,2,6500,40.0,0.092
Cheras,6784.663355325668,2,1,9500,57.9,0.072
Bangsar,5372.270964031639,2,2,6500,56.9,0.092
Bangsar,5515.785831772167,2,1,6500,51.6,0.049
Bukit Bintang,7906.403236762304,2,2,11000,69.5,0.156
Bangsar,5241.681195686264,1,2,6500,35.2,0.092
Cheras,7439.99470368215,2,2,9500,67.2,0.135
Cheras,7141.205909695243,1,2,9500,44.7,0.135
Cheras,7777.853212189291,2,0,9500,68.9,0.0
Bukit Bintang,6837.890808330325,0,2,11000,58.2,0.021
Bukit Bintang,7887.916660360828,0,1,11000,42.4,0.083
Cheras,7011.596748324432,1,1,9500,38.1,0.072
Cheras,6448.2339058701955,2,0,9500,62.2,0.0
Bukit Bintang,8827.360699677522,2,3,11000,74.1,0.0
Bangsar,4994.333310473608,2,0,6500,55.0,0.0
Bukit Bintang,7986.98593276146,1,1,11000,42.9,0.083
Cheras,6378.992865667957,2,2,9500,61.9,0.135
